artifact_type,file_pattern,description,depends_on,affected_by
agents_md,AGENTS.md,Agent directives and behavioral instructions,"SOUL.md,skills/","persona changes,skill changes,boundary changes"
soul_md,SOUL.md,Agent persona and identity definition,,"persona changes,name changes,communication style changes"
user_md,USER.md,User context templates and interaction patterns,SOUL.md,"persona changes,channel changes"
memory_md,MEMORY.md,Memory scaffolds and recall directives,"AGENTS.md,openclaw.json","memory config changes,skill changes"
skills_dir,skills/*.md,Individual skill definitions with gating rules,AGENTS.md,"skill additions,skill removals,skill modifications"
review_md,REVIEW.md,Self-correction directives and feedback patterns,AGENTS.md,"persona changes,skill changes,boundary changes"
openclaw_json,openclaw.json,Configuration fragments for OpenClaw runtime,"AGENTS.md,skills/","binding changes,channel changes,tool policy changes,memory config changes"
tool_policies,tool-policies.md,Per-agent tool access restrictions,AGENTS.md,"skill changes,security changes,boundary changes"
memory_config,memory-config.md,Memory backend and recall configuration,MEMORY.md,"memory changes,skill changes"
failover_config,failover.md,Failover chain and resilience configuration,openclaw.json,"agent additions,agent removals,reliability changes"
heartbeat_config,heartbeat.md,Heartbeat and monitoring patterns,openclaw.json,"monitoring changes,agent changes"
logging_config,logging.md,Logging and observability configuration,openclaw.json,"observability changes,agent changes"
orchestration,orchestration.md,Multi-agent communication patterns,"AGENTS.md,openclaw.json","agent additions,agent removals,routing changes"
